Time	(reaction_1).k1	(reaction_2).k1	(reaction_2).k2	A.ParticleNumber	B.ParticleNumber	C.ParticleNumber
0	80	13.4547	2.128	-4.38145e-028	26.6227	168.327
0	80	13.4547	2.356	-6.31089e-030	29.0501	165.9
0	80	13.4547	2.584	8.46784e-030	31.4085	163.542
0	80	13.4547	2.812	-1.00974e-028	33.7007	161.249
0	80	13.4547	3.04	-1.5544e-028	35.9296	159.02

0	80	14.8963	0.76	2.94861e-029	9.46343	185.487
0	80	14.8963	0.988	-9.46956e-028	12.1259	182.824
0	80	14.8963	1.216	-3.45479e-028	14.713	180.237
0	80	14.8963	1.444	-1.13596e-028	17.2278	177.722
0	80	14.8963	1.672	-6.25763e-029	19.6735	175.276
0	80	14.8963	1.9	-2.37611e-028	22.0528	172.897
0	80	14.8963	2.128	-1.58564e-028	24.3684	170.582
0	80	14.8963	2.356	1.29373e-028	26.6227	168.327
0	80	14.8963	2.584	-1.16751e-028	28.8182	166.132
0	80	14.8963	2.812	3.78653e-029	30.9572	163.993
0	80	14.8963	3.04	0	33.0419	161.908

0	80	16.3379	0.76	6.92259e-028	8.66553	186.284
0	80	16.3379	0.988	3.15544e-029	11.1169	183.833
0	80	16.3379	1.216	2.20881e-028	13.5047	181.445
0	80	16.3379	1.444	7.22597e-028	15.8312	179.119
0	80	16.3379	1.672	9.71443e-028	18.0988	176.851
0	80	16.3379	1.9	-1.4515e-028	20.3097	174.64
0	80	16.3379	2.128	-7.39512e-029	22.466	172.484
0	80	16.3379	2.356	1.13569e-028	24.5697	170.38
0	80	16.3379	2.584	1.95638e-028	26.6227	168.327
0	80	16.3379	2.812	1.00974e-027	28.6268	166.323
0	80	16.3379	3.04	6.87436e-029	30.5838	164.366

0	80	17.7794	0.76	5.36106e-029	7.99173	186.958
0	80	17.7794	0.988	-3.7946e-028	10.263	184.687
0	80	17.7794	1.216	-5.60052e-028	12.4798	182.47
0	80	17.7794	1.444	-2.71368e-028	14.644	180.306
0	80	17.7794	1.672	4.55978e-028	16.7575	178.193
0	80	17.7794	1.9	3.21855e-028	18.8219	176.128
0	80	17.7794	2.128	3.75465e-028	20.8391	174.111
0	80	17.7794	2.356	1.26218e-028	22.8107	172.139
0	80	17.7794	2.584	-1.0413e-028	24.738	170.212
0	80	17.7794	2.812	-2.46125e-028	26.6227	168.327
0	80	17.7794	3.04	-6.31089e-030	28.4661	166.484

0	80	19.221	0.76	2.31397e-028	7.41514	187.535
0	80	19.221	0.988	-1.47121e-027	9.53093	185.419
0	80	19.221	1.216	-1.03207e-027	11.5995	183.35
0	80	19.221	1.444	1.89327e-029	13.6224	181.328
0	80	19.221	1.672	6.50398e-028	15.6012	179.349
0	80	19.221	1.9	5.73035e-028	17.5373	177.413
0	80	19.221	2.128	7.22597e-028	19.432	175.518
0	80	19.221	2.356	-6.94198e-029	21.2867	173.663
